report_date,state,confirmed,deaths,new_cases,new_deaths,cfr
2020-04-12,Alabama,3667,93,0.0,0.0,0.0254
2020-04-13,Alabama,3870,99,203.0,6.0,0.0256
2020-04-14,Alabama,4041,114,171.0,15.0,0.0282
2020-04-15,Alabama,4307,118,266.0,4.0,0.0274
2020-04-16,Alabama,4465,133,158.0,15.0,0.0298
2020-04-17,Alabama,4557,148,92.0,15.0,0.0325
2020-04-18,Alabama,4788,153,231.0,5.0,0.032
2020-04-19,Alabama,4978,157,190.0,4.0,0.0315
2020-04-20,Alabama,5163,163,185.0,6.0,0.0316
2020-04-21,Alabama,5404,183,241.0,20.0,0.0339
2020-04-22,Alabama,5692,196,288.0,13.0,0.0344
2020-04-23,Alabama,5899,202,207.0,6.0,0.0342
2020-04-24,Alabama,6092,209,193.0,7.0,0.0343
2020-04-25,Alabama,6274,209,182.0,0.0,0.0333
2020-04-26,Alabama,6475,219,201.0,10.0,0.0338
2020-04-27,Alabama,6621,228,146.0,9.0,0.0344
2020-04-28,Alabama,6820,242,199.0,14.0,0.0355
2020-04-29,Alabama,6979,256,159.0,14.0,0.0367
2020-04-30,Alabama,7187,272,208.0,16.0,0.0378
2020-05-01,Alabama,7440,289,253.0,17.0,0.0388
2020-05-02,Alabama,7700,288,260.0,0.0,0.0374
2020-05-03,Alabama,7977,290,277.0,2.0,0.0364
2020-05-04,Alabama,8203,298,226.0,8.0,0.0363
2020-05-05,Alabama,8520,315,317.0,17.0,0.037
2020-05-06,Alabama,8769,343,249.0,28.0,0.0391
2020-05-07,Alabama,9115,369,346.0,26.0,0.0405
2020-05-08,Alabama,9437,383,322.0,14.0,0.0406
2020-05-09,Alabama,9720,390,283.0,7.0,0.0401
2020-05-10,Alabama,9982,393,262.0,3.0,0.0394
2020-05-11,Alabama,10262,403,280.0,10.0,0.0393
2020-05-12,Alabama,10566,435,304.0,32.0,0.0412
2020-05-13,Alabama,10822,450,256.0,15.0,0.0416
2020-05-14,Alabama,11161,473,339.0,23.0,0.0424
2020-05-15,Alabama,11494,483,333.0,10.0,0.042
2020-05-16,Alabama,11828,485,334.0,2.0,0.041
2020-05-17,Alabama,12137,488,309.0,3.0,0.0402
2020-05-18,Alabama,12438,489,301.0,1.0,0.0393
2020-05-19,Alabama,12825,504,387.0,15.0,0.0393
2020-05-20,Alabama,13186,522,361.0,18.0,0.0396
2020-05-21,Alabama,13590,529,404.0,7.0,0.0389
2020-05-22,Alabama,13954,541,364.0,12.0,0.0388
2020-05-23,Alabama,14328,549,374.0,8.0,0.0383
2020-05-24,Alabama,14676,551,348.0,2.0,0.0375
2020-05-25,Alabama,15309,566,633.0,15.0,0.037
2020-05-26,Alabama,15899,580,590.0,14.0,0.0365
2020-05-27,Alabama,16263,583,364.0,3.0,0.0358
2020-05-28,Alabama,16749,591,486.0,8.0,0.0353
2020-05-29,Alabama,17262,610,513.0,19.0,0.0353
2020-05-30,Alabama,17689,618,427.0,8.0,0.0349
2020-05-31,Alabama,18200,630,511.0,12.0,0.0346
2020-06-01,Alabama,18525,646,325.0,16.0,0.0349
2020-06-02,Alabama,18734,653,209.0,7.0,0.0349
2020-06-03,Alabama,18954,653,220.0,0.0,0.0345
2020-06-04,Alabama,19262,653,308.0,0.0,0.0339
2020-06-05,Alabama,19910,676,648.0,23.0,0.034
2020-06-06,Alabama,20355,689,445.0,13.0,0.0338
2020-06-07,Alabama,20777,692,422.0,3.0,0.0333
2020-06-08,Alabama,21268,718,491.0,26.0,0.0338
2020-06-09,Alabama,21834,729,566.0,11.0,0.0334
2020-06-10,Alabama,22659,744,825.0,15.0,0.0328
2020-06-11,Alabama,23370,755,711.0,11.0,0.0323
2020-06-12,Alabama,24405,769,1035.0,14.0,0.0315
2020-06-13,Alabama,25364,773,959.0,4.0,0.0305
2020-06-14,Alabama,26182,773,818.0,0.0,0.0295
2020-06-15,Alabama,26485,774,303.0,1.0,0.0292
2020-06-16,Alabama,27034,785,549.0,11.0,0.029
2020-06-17,Alabama,27941,790,907.0,5.0,0.0283
2020-06-18,Alabama,28676,810,735.0,20.0,0.0282
2020-06-19,Alabama,29225,822,549.0,12.0,0.0281
2020-06-20,Alabama,29683,838,458.0,16.0,0.0282
2020-06-21,Alabama,30122,839,439.0,1.0,0.0279
2020-06-22,Alabama,30771,841,649.0,2.0,0.0273
2020-06-23,Alabama,31889,864,1118.0,23.0,0.0271
2020-06-24,Alabama,32878,891,989.0,27.0,0.0271
2020-06-25,Alabama,33880,896,1002.0,5.0,0.0264
2020-06-26,Alabama,34903,907,1023.0,11.0,0.026
2020-06-27,Alabama,35083,919,180.0,12.0,0.0262
2020-06-28,Alabama,36503,919,1420.0,0.0,0.0252
2020-06-29,Alabama,37589,929,1086.0,10.0,0.0247
2020-06-30,Alabama,38477,950,888.0,21.0,0.0247
2020-07-01,Alabama,39647,972,1170.0,22.0,0.0245
2020-07-02,Alabama,41340,985,1693.0,13.0,0.0238
2020-07-03,Alabama,42255,1006,915.0,21.0,0.0238
2020-07-04,Alabama,43216,1007,961.0,1.0,0.0233
2020-07-05,Alabama,44022,1007,806.0,0.0,0.0229
2020-07-06,Alabama,44932,1007,910.0,0.0,0.0224
2020-07-07,Alabama,46348,1033,1416.0,26.0,0.0223
2020-07-08,Alabama,48149,1058,1801.0,25.0,0.022
2020-07-09,Alabama,49695,1068,1546.0,10.0,0.0215
