state,population,lat,long
Alabama,4903185,32.3182,-86.9023
Alaska,731545,64.2008,-149.4937
Arizona,7278717,34.0489,-111.0937
Arkansas,3017804,35.2010,-91.8318
California,39512223,36.7783,-119.4179
Colorado,5758736,39.5501,-105.7821
Connecticut,3565287,41.6032,-73.0877
Delaware,973764,38.9108,-75.5277
Florida,21477737,27.9944,-81.7603
Georgia,10617423,32.1656,-82.9001
Hawaii,1415872,19.8968,-155.5828
Idaho,1787065,44.0682,-114.7420
Illinois,12671821,40.6331,-89.3985
Indiana,6732219,40.2672,-86.1349
Iowa,3155070,41.8780,-93.0977
Kansas,2913314,39.0119,-98.4842
Kentucky,4467673,37.8393,-84.2700
Louisiana,4648794,30.9843,-91.9623
Maine,1344212,45.2538,-69.4455
Maryland,6045680,39.0458,-76.6413
Massachusetts,6892503,42.4072,-71.3824
Michigan,9986857,44.3148,-85.6024
Minnesota,5639632,46.7296,-94.6859
Mississippi,2976149,32.3547,-89.3985
Missouri,6137428,37.9643,-91.8318
Montana,1068778,46.8797,-110.3626
Nebraska,1934408,41.4925,-99.9018
Nevada,3080156,38.8026,-116.4194
New Hampshire,1359711,43.1939,-71.5724
New Jersey,8882190,40.0583,-74.4057
New Mexico,2096829,34.5199,-105.8701
New York,19453561,43.2994,-74.2179
North Carolina,10488084,35.7596,-79.0193
North Dakota,762062,47.5515,-101.0020
Ohio,11689100,40.4173,-82.9071
Oklahoma,3956971,35.0078,-97.0929
Oregon,4217737,43.8041,-120.5542
Pennsylvania,12801989,41.2033,-77.1945
Rhode Island,1059361,41.5801,-71.4774
South Carolina,5148714,33.8361,-81.1637
South Dakota,884659,43.9695,-99.9018
Tennessee,6829174,35.5175,-86.5804
Texas,28995881,31.9686,-99.9018
Utah,3205958,39.3200,-111.0937
Vermont,623989,44.5588,-72.5778
Virginia,8535519,37.4316,-78.6569
Washington,7614893,47.7511,-120.7401
West Virginia,1792147,38.5976,-80.4549
Wisconsin,5822434,43.7844,-88.7879
Wyoming,578759,43.0759,-107.2903
